id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,square_feet,bedrooms,amenities_count,price_log,reviews_log,nights_log,reviews,nights,Predicted_Price,Price_Suggestion_Diff
317905,Come and go as  you please in BKLN!,1631733,Jane,Brooklyn,Kensington,40.64354,-73.97777,home/apt,89,3,62,02-01-2019,0.71,1,189,512,1,3,4.49980967,4.143134726,1.386294361,62,3,93.690926,4.690925598
34205267,"Spacious, sunny room in Queens/Brooklyn",913940,Giancarlo,Queens,Ridgewood,40.70666,-73.90779,Private room,30,21,0,,0,1,73,223,1,1,3.433987204,0,3.091042453,0,21,30.650852,0.650852203
12342297,Private bedroom in high-ceiling 4BR apartment!,19953913,Alejandro,Manhattan,Hell's Kitchen,40.76116,-73.99016,Private room,120,2,17,28-04-2017,0.43,1,0,215,1,3,4.795790546,2.890371758,1.098612289,17,2,120.10016,0.100158691
33527778,Sonder | Stock Exchange | Stunning 3BR + Kitchen,219517861,Sonder (NYC),Manhattan,Financial District,40.70763,-74.0105,home/apt,470,2,5,02-06-2019,1.88,327,272,573,1,8,6.154858094,1.791759469,1.098612289,5,2,460.25903,-9.740966797
13136376,Spacious 2 Bedroom with Balcony,16110448,Gingie,Manhattan,East Harlem,40.79658,-73.93287,home/apt,199,2,30,03-06-2019,0.8,1,30,559,0,5,5.298317367,3.433987204,1.098612289,30,2,202.49257,3.49256897
4365276,Entire 2BR APT (not a railroad),3081990,Amanda,Brooklyn,Williamsburg,40.70698,-73.95406,home/apt,170,1,141,22-06-2019,3.05,1,28,1259,2,3,5.141663557,4.955827058,0.693147181,141,1,166.83263,-3.167373657
22968206,1br in spacious 2 br in the heart of Williamsburg,22748648,Hugo,Brooklyn,Williamsburg,40.71246,-73.96133,Private room,90,5,1,21-02-2018,0.06,1,0,177,1,1,4.510859507,0.693147181,1.791759469,1,5,73.653336,-16.34666443
32472023,comfortable Place to live,209376540,Jing,Queens,College Point,40.76813,-73.84542,home/apt,60,30,0,,0,1,121,410,0,1,4.110873864,0,3.433987204,0,30,61.101986,1.101985931
8609130,Great Nolita Apartment!,2520559,Victoria,Manhattan,SoHo,40.72214,-73.99793,home/apt,150,2,89,02-06-2019,1.94,1,55,1042,2,3,5.017279837,4.49980967,1.098612289,89,2,197.31721,47.31721497
24806106,“Studio” ideally located  across Golf Course,132669029,Edwin,Bronx,Throgs Neck,40.81437,-73.82774,home/apt,74,2,37,13-06-2019,2.63,4,70,856,1,1,4.317488114,3.63758616,1.098612289,37,2,75.17574,1.175743103
34112635,CRASH PAD near LGA JFK,21216008,Jose,Queens,Jackson Heights,40.75078,-73.87949,Shared room,28,1,4,08-06-2019,2.11,4,354,90,1,1,3.36729583,1.609437912,0.693147181,4,1,28.30884,0.308839798
24746319,Amazing room for Memorial day weekend only!,111876825,Brandon,Queens,Maspeth,40.71319,-73.90315,Private room,200,2,0,,0,1,365,221,1,4,5.303304908,0,1.098612289,0,2,203.04115,3.041152954
4386513,"2 Bedroom Duplex, INCREDIBLE views! 30day discount",10556597,Dan,Manhattan,East Village,40.72478,-73.97771,home/apt,230,3,12,10-06-2019,0.21,1,4,479,0,4,5.442417711,2.564949357,1.386294361,12,3,176.48972,-53.51028442
