neighbourhood_group,neighbourhood,latitude,longitude,room_type,reviews_per_month,calculated_host_listings_count,availability_365,square_feet,bedrooms,price_log,reviews_log,nights_log,amenities_count
Brooklyn,Kensington,40.64354,-73.97777,Entire home/apt,0.71,1,189,512.0,1,4.499809670330265,4.143134726391533,1.3862943611198906,3
Queens,Ridgewood,40.70666,-73.90779,Private room,0.0,1,73,223.0,1,3.4339872044851463,0.0,3.091042453358316,1
Manhattan,Hell's Kitchen,40.76116,-73.99016,Private room,0.43,1,0,215.0,1,4.795790545596741,2.8903717578961645,1.0986122886681098,3
Manhattan,Financial District,40.70763,-74.0105,Entire home/apt,1.88,327,272,573.0,1,6.154858094016418,1.791759469228055,1.0986122886681098,8
Manhattan,East Harlem,40.79658,-73.93287,Entire home/apt,0.8,1,30,559.0,0,5.298317366548036,3.4339872044851463,1.0986122886681098,5
Brooklyn,Williamsburg,40.70698,-73.95406,Entire home/apt,3.05,1,28,1259.0,2,5.14166355650266,4.955827057601261,0.6931471805599453,3
Brooklyn,Williamsburg,40.71246,-73.96133,Private room,0.06,1,0,177.0,1,4.51085950651685,0.6931471805599453,1.791759469228055,1
Queens,College Point,40.76813,-73.84542,Entire home/apt,0.0,1,121,410.0,0,4.110873864173311,0.0,3.4339872044851463,1
Manhattan,SoHo,40.72214,-73.99793,Entire home/apt,1.94,1,55,1042.0,2,5.017279836814924,4.499809670330265,1.0986122886681098,3
Bronx,Throgs Neck,40.81437,-73.82774,Entire home/apt,2.63,4,70,856.0,1,4.31748811353631,3.6375861597263857,1.0986122886681098,1
Queens,Jackson Heights,40.75078,-73.87949,Shared room,2.11,4,354,90.0,1,3.367295829986474,1.6094379124341003,0.6931471805599453,1
Queens,Maspeth,40.71319,-73.90315,Private room,0.0,1,365,221.0,1,5.303304908059076,0.0,1.0986122886681098,4
Manhattan,East Village,40.72478,-73.97771,Entire home/apt,0.21,1,4,479.0,0,5.442417710521793,2.5649493574615367,1.3862943611198906,4
Brooklyn,Clinton Hill,40.69353,-73.96784,Private room,0.05,1,0,267.0,1,3.8918202981106265,1.0986122886681098,0.6931471805599453,1
Brooklyn,Fort Greene,40.68816,-73.97579,Entire home/apt,0.21,1,0,708.0,1,4.61512051684126,1.791759469228055,2.70805020110221,2
Manhattan,Gramercy,40.73267,-73.98259,Private room,0.03,1,0,78.0,1,4.61512051684126,0.6931471805599453,1.3862943611198906,1
Brooklyn,Bedford-Stuyvesant,40.69091,-73.94514,Entire home/apt,2.35,1,133,1075.0,2,4.7535901911063645,1.6094379124341003,3.4339872044851463,3
Manhattan,SoHo,40.72635,-74.00298,Private room,0.04,1,0,131.0,1,4.553876891600541,0.6931471805599453,0.6931471805599453,1
Brooklyn,Greenpoint,40.72488,-73.94932,Entire home/apt,0.5,1,6,1997.0,3,4.8283137373023015,1.9459101490553132,0.6931471805599453,2
Manhattan,Upper West Side,40.78122,-73.98473,Entire home/apt,0.0,1,0,568.0,0,5.4638318050256105,0.0,0.6931471805599453,5
Bronx,Belmont,40.85505,-73.89238,Private room,6.72,1,84,149.0,1,3.713572066704308,3.367295829986474,1.0986122886681098,1
Manhattan,Harlem,40.80489,-73.95759,Entire home/apt,0.02,1,0,811.0,1,4.7535901911063645,0.6931471805599453,0.6931471805599453,2
Brooklyn,Williamsburg,40.71471,-73.94045,Entire home/apt,1.23,1,272,849.0,1,5.5254529391317835,4.477336814478207,0.6931471805599453,5
Manhattan,West Village,40.72953,-74.00462,Entire home/apt,0.12,1,0,549.0,1,4.983606621708336,2.4849066497880004,2.0794415416798357,1
Manhattan,Lower East Side,40.7225,-73.9894,Entire home/apt,0.0,1,0,2388.0,3,5.303304908059076,0.0,1.3862943611198906,5
Manhattan,Tribeca,40.71519,-74.00654,Entire home/apt,0.0,232,38,333.0,2,5.746203190540153,0.0,3.4339872044851463,8
Bronx,Concourse Village,40.82964,-73.91833,Private room,0.0,1,162,285.0,1,3.9889840465642745,0.0,1.3862943611198906,1
Brooklyn,Bensonhurst,40.60951,-73.97642,Shared room,0.43,6,180,207.0,1,4.382026634673881,2.772588722239781,0.6931471805599453,3
Brooklyn,Williamsburg,40.70907,-73.96396,Private room,2.75,1,19,257.0,1,4.110873864173311,3.5263605246161616,0.6931471805599453,1
Manhattan,Harlem,40.81798,-73.94157,Private room,0.38,103,246,141.0,1,3.713572066704308,1.0986122886681098,3.4339872044851463,1
Manhattan,East Village,40.72503,-73.97696,Private room,0.14,1,0,136.0,1,4.2626798770413155,1.791759469228055,1.0986122886681098,1
Queens,Arverne,40.59399,-73.79693,Entire home/apt,1.34,1,344,803.0,1,5.707110264748875,4.219507705176107,0.6931471805599453,6
Brooklyn,Greenpoint,40.7254,-73.94136,Entire home/apt,0.05,52,336,1085.0,2,4.867534450455582,1.3862943611198906,3.4339872044851463,1
Manhattan,East Village,40.7282,-73.98001,Private room,4.34,1,84,247.0,1,4.330733340286331,5.075173815233827,0.6931471805599453,1
Brooklyn,Prospect Heights,40.67635,-73.97113,Entire home/apt,0.39,1,0,1308.0,2,4.8283137373023015,2.302585092994046,1.0986122886681098,1
Brooklyn,Williamsburg,40.71279,-73.96291,Private room,0.16,1,0,161.0,1,4.394449154672439,1.9459101490553132,1.0986122886681098,1
Manhattan,Washington Heights,40.84393,-73.93979,Entire home/apt,0.47,1,22,798.0,2,4.61512051684126,2.4849066497880004,1.791759469228055,3
Manhattan,Hell's Kitchen,40.75625,-73.99357,Private room,0.0,1,250,229.0,1,4.1588830833596715,0.0,3.4657359027997265,1
Manhattan,Lower East Side,40.72207,-73.98726,Entire home/apt,1.46,1,0,579.0,0,4.605170185988092,2.4849066497880004,0.6931471805599453,1
Brooklyn,Gravesend,40.58527,-73.96871,Shared room,0.0,12,0,142.0,1,3.367295829986474,0.0,2.3978952727983707,1
Manhattan,East Harlem,40.81213,-73.93752,Entire home/apt,4.07,1,0,333.0,1,4.564348191467836,2.833213344056216,1.3862943611198906,3
Manhattan,Harlem,40.81829,-73.94686,Entire home/apt,0.98,1,75,608.0,1,5.170483995038151,3.5553480614894135,1.0986122886681098,5
Brooklyn,Bushwick,40.70126,-73.92077,Private room,0.3,17,365,169.0,1,4.02535169073515,1.0986122886681098,3.58351893845611,1
Manhattan,Upper West Side,40.77605,-73.98833,Entire home/apt,0.63,25,363,938.0,2,5.25227342804663,1.6094379124341003,3.4339872044851463,5
Manhattan,Harlem,40.80172,-73.95538,Private room,7.75,2,32,333.0,1,4.61512051684126,5.424950017481403,0.6931471805599453,2
Manhattan,Nolita,40.72244,-73.99461,Entire home/apt,0.75,1,0,1370.0,2,5.5254529391317835,2.302585092994046,0.6931471805599453,3
Manhattan,Lower East Side,40.7177,-73.98245,Private room,0.84,1,0,114.0,1,4.356708826689592,3.044522437723423,1.791759469228055,2
Manhattan,Financial District,40.70436,-74.00927,Entire home/apt,3.78,1,298,1336.0,2,6.2166061010848646,2.833213344056216,1.791759469228055,8
Manhattan,Harlem,40.81162,-73.95046,Entire home/apt,0.13,1,0,620.0,0,4.61512051684126,1.791759469228055,0.6931471805599453,3
Manhattan,Midtown,40.75349,-73.96545,Private room,5.73,1,49,143.0,1,5.081404364984463,4.68213122712422,1.0986122886681098,3
Brooklyn,Crown Heights,40.67141,-73.92643,Entire home/apt,0.0,1,0,903.0,1,4.51085950651685,0.0,3.4339872044851463,2
Manhattan,Hell's Kitchen,40.75611,-73.99386,Entire home/apt,0.52,2,0,1077.0,2,4.875197323201151,1.0986122886681098,1.6094379124341003,1
Brooklyn,Park Slope,40.6688,-73.97865,Private room,3.86,4,0,306.0,1,4.941642422609304,5.220355825078324,0.6931471805599453,2
Manhattan,Hell's Kitchen,40.76506,-73.98567,Private room,0.41,6,225,245.0,1,4.2626798770413155,1.9459101490553132,1.3862943611198906,1
Manhattan,Hell's Kitchen,40.75925,-73.99375,Entire home/apt,4.83,1,357,333.0,4,5.420534999272286,4.1588830833596715,0.6931471805599453,5
Manhattan,Theater District,40.76095,-73.98668,Private room,0.08,1,0,139.0,1,5.017279836814924,1.3862943611198906,1.0986122886681098,5
Brooklyn,Bushwick,40.69414,-73.92477,Entire home/apt,3.33,1,4,566.0,1,4.59511985013459,2.0794415416798357,1.0986122886681098,2
Brooklyn,Gowanus,40.66933,-73.99158,Entire home/apt,3.38,1,99,660.0,1,4.836281906951478,4.2626798770413155,1.3862943611198906,3
Queens,Long Island City,40.75595,-73.93075,Private room,0.06,2,34,161.0,1,4.875197323201151,0.6931471805599453,2.0794415416798357,2
Brooklyn,Bushwick,40.68865,-73.9081,Entire home/apt,2.8,1,38,1087.0,2,4.983606621708336,3.713572066704308,1.6094379124341003,2
Queens,Maspeth,40.74064,-73.89956,Private room,0.0,18,352,280.0,1,3.6888794541139363,0.0,3.4339872044851463,1
Brooklyn,Bushwick,40.70537,-73.91587,Private room,0.97,1,0,270.0,1,3.871201010907891,2.8903717578961645,0.6931471805599453,1
Queens,Flushing,40.75747,-73.80868,Entire home/apt,0.0,1,365,1222.0,2,6.111467339502679,0.0,1.6094379124341003,8
Manhattan,Harlem,40.82349,-73.94193,Private room,0.05,2,178,143.0,1,4.394449154672439,1.3862943611198906,1.3862943611198906,2
Brooklyn,Flatbush,40.64107,-73.95325,Private room,0.08,2,0,120.0,1,3.9318256327243257,1.3862943611198906,1.6094379124341003,1
Manhattan,Chelsea,40.75041,-73.99489,Entire home/apt,0.05,1,0,1400.0,3,5.707110264748875,1.0986122886681098,0.6931471805599453,6
Queens,Astoria,40.75537,-73.91648,Private room,0.93,2,173,124.0,1,3.8501476017100584,4.2626798770413155,1.6094379124341003,1
Brooklyn,Red Hook,40.67627,-74.00625,Private room,1.15,1,88,259.0,1,4.605170185988092,4.07753744390572,0.6931471805599453,3
Brooklyn,Crown Heights,40.6725,-73.93981,Entire home/apt,3.1,1,342,1284.0,2,4.59511985013459,4.859812404361672,1.3862943611198906,2
Brooklyn,Red Hook,40.67798,-74.00787,Entire home/apt,0.49,2,333,1874.0,3,4.983606621708336,2.4849066497880004,0.6931471805599453,2
