room_type,neighbourhood_group,minimum_nights,amenities_count,latitude,longitude,calculated_host_listings_count,availability_365,reviews_log,nights_log,predicted_price
home/apt,Brooklyn,1,0,40.72208,-73.95471,1,36,1.791759469,0.693147181,125.355446
home/apt,Brooklyn,1,1,40.72208,-73.95471,1,36,1.791759469,0.693147181,125.355446
home/apt,Brooklyn,1,2,40.72208,-73.95471,1,36,1.791759469,0.693147181,141.60005
home/apt,Brooklyn,1,3,40.72208,-73.95471,1,36,1.791759469,0.693147181,171.33714
home/apt,Brooklyn,1,4,40.72208,-73.95471,1,36,1.791759469,0.693147181,216.14444
home/apt,Brooklyn,1,5,40.72208,-73.95471,1,36,1.791759469,0.693147181,219.18326
home/apt,Brooklyn,1,6,40.72208,-73.95471,1,36,1.791759469,0.693147181,361.54684
home/apt,Brooklyn,1,7,40.72208,-73.95471,1,36,1.791759469,0.693147181,379.46686
home/apt,Brooklyn,1,8,40.72208,-73.95471,1,36,1.791759469,0.693147181,381.17294
home/apt,Brooklyn,1,9,40.72208,-73.95471,1,36,1.791759469,0.693147181,381.17294
home/apt,Brooklyn,1,10,40.72208,-73.95471,1,36,1.791759469,0.693147181,381.17294
home/apt,Brooklyn,1,11,40.72208,-73.95471,1,36,1.791759469,0.693147181,381.17294
home/apt,Brooklyn,1,12,40.72208,-73.95471,1,36,1.791759469,0.693147181,381.17294
home/apt,Brooklyn,1,13,40.72208,-73.95471,1,36,1.791759469,0.693147181,381.17294
home/apt,Brooklyn,1,14,40.72208,-73.95471,1,36,1.791759469,0.693147181,381.17294
home/apt,Brooklyn,1,15,40.72208,-73.95471,1,36,1.791759469,0.693147181,381.17294
home/apt,Brooklyn,1,16,40.72208,-73.95471,1,36,1.791759469,0.693147181,381.17294
home/apt,Brooklyn,1,17,40.72208,-73.95471,1,36,1.791759469,0.693147181,381.17294
home/apt,Brooklyn,1,18,40.72208,-73.95471,1,36,1.791759469,0.693147181,381.17294
home/apt,Brooklyn,1,19,40.72208,-73.95471,1,36,1.791759469,0.693147181,381.17294
home/apt,Brooklyn,1,20,40.72208,-73.95471,1,36,1.791759469,0.693147181,381.17294
home/apt,Brooklyn,1,21,40.72208,-73.95471,1,36,1.791759469,0.693147181,381.17294
home/apt,Brooklyn,1,22,40.72208,-73.95471,1,36,1.791759469,0.693147181,381.17294
